Chunk,Frame,PSNR (dB),SSIM
46,369,42.1956,0.989661
46,370,41.9876,0.989664
46,371,42.1352,0.989654
46,372,42.0998,0.989576
46,373,41.9947,0.989673
46,374,41.792,0.9894
46,375,42.6795,0.990459
46,376,42.516,0.990061
46,377,42.4649,0.990505
46,378,41.7526,0.989774
46,379,42.0253,0.98997
46,380,41.848,0.989558
46,381,42.1307,0.989978
46,382,42.2534,0.990192
46,383,42.1039,0.990026
46,384,42.0586,0.989668
46,385,41.9352,0.98967
46,386,41.7127,0.989365
46,387,41.7497,0.98941
46,388,41.8381,0.98932
46,389,42.1399,0.990072
46,390,42.1959,0.99004
46,391,41.8919,0.989662
46,392,41.985,0.989448
46,393,41.7735,0.989615
46,394,41.7953,0.989438
46,395,41.7261,0.989546
46,396,41.7941,0.989249
46,397,41.5809,0.9894
46,398,41.7158,0.989325
46,399,41.7157,0.989453
46,400,42.458,0.990111
46,401,41.7649,0.98965
46,402,41.781,0.989384
46,403,41.6285,0.989105
46,404,41.411,0.98906
46,405,41.564,0.989021
46,406,41.6658,0.988993
46,407,41.5543,0.98928
46,408,41.5522,0.989064
46,409,41.4141,0.988852
46,410,40.0112,0.986832
46,411,40.8112,0.988519
46,412,40.5942,0.987998
46,413,40.994,0.988403
46,414,40.815,0.988651
46,415,40.9067,0.988516
46,416,40.8163,0.988516
46,417,40.8821,0.98816
46,418,40.9392,0.988388
46,419,40.8518,0.98837
46,420,40.8803,0.988333
46,421,41.1728,0.988388
46,422,40.7664,0.98821
46,423,40.9426,0.988229
46,424,40.9218,0.98837
46,425,41.7971,0.98928
46,426,40.1562,0.987519
46,427,40.2112,0.987355
46,428,40.0436,0.98703
46,429,40.0532,0.986823
46,430,40.0373,0.987117
46,431,40.248,0.987133
46,432,39.683,0.986572
46,433,39.5032,0.985976
46,434,39.595,0.986581
46,435,39.7284,0.98644
46,436,39.3408,0.986111
46,437,39.1508,0.985462
46,438,39.306,0.986056
46,439,39.3922,0.986104
46,440,40.2357,0.987758
