Frame,PSNR,SSIM
806,31.3424,0.890282
807,31.6846,0.895982
808,31.3941,0.891813
809,31.6877,0.895811
810,31.2987,0.889607
811,31.6458,0.895363
812,31.3162,0.890799
813,31.6341,0.894993
814,31.4095,0.891173
815,31.4843,0.893198
816,31.5536,0.893802
817,31.6014,0.894526
818,31.4583,0.89177
819,31.502,0.893448
820,31.6025,0.894292
821,31.4724,0.892354
822,31.4403,0.890954
823,31.3422,0.890702
824,31.5281,0.892629
825,31.3524,0.890458
826,31.4321,0.890146
827,31.0173,0.88698
828,31.4494,0.891539
829,31.4861,0.892347
830,31.0404,0.885666
831,31.4412,0.891629
832,31.31,0.88908
833,31.3391,0.890003
834,31.1379,0.885748
835,31.4453,0.891181
836,31.1283,0.887149
837,31.4361,0.890867
838,31.0112,0.884542
839,31.4115,0.890534
840,31.2211,0.887079
841,31.3233,0.888404
842,31.0204,0.883539
843,31.302,0.888213
844,31.3207,0.888382
845,31.189,0.886248
846,31.6756,0.893917
847,31.5332,0.893117
848,31.3258,0.889707
849,31.2363,0.887172
850,31.0677,0.883976
851,31.3199,0.888454
852,31.2646,0.888045
853,31.2241,0.886264
854,31.0668,0.882867
855,31.1543,0.885812
856,31.1024,0.884925
857,31.1078,0.884499
858,30.9283,0.880665
859,31.155,0.884482
860,30.8064,0.878932
861,31.9271,0.898197
862,31.3506,0.890669
863,31.7404,0.895896
864,31.8711,0.898029
865,31.7809,0.895971
866,31.7688,0.894872
867,31.8589,0.897631
868,31.9668,0.898652
869,31.9001,0.897642
870,31.8819,0.896245
871,31.9018,0.897529
872,32.0939,0.899366
873,31.8714,0.896568
874,31.9859,0.896661
875,31.6641,0.89355
876,31.9183,0.896199
877,31.7015,0.893465
878,31.69,0.89256
879,31.8211,0.894969
880,32.0635,0.897469
881,31.8687,0.895225
882,31.8909,0.894689
883,31.6554,0.893273
884,31.8866,0.895103
885,31.9027,0.894815
886,31.2768,0.88675
887,32.3876,0.903358
888,32.0495,0.899603
889,31.8501,0.897272
890,31.8471,0.895076
891,32.0561,0.898564
892,31.8373,0.895856
893,31.9417,0.89666
894,31.8848,0.894935
895,31.4903,0.891996
896,31.717,0.892665
897,28.6353,0.825591
898,29.0853,0.837534
899,29.3625,0.84312
900,29.5516,0.847748
901,29.4746,0.846673
902,29.5889,0.847915
903,29.7996,0.853468
904,29.646,0.851592
905,29.876,0.855084
906,29.6613,0.850741
907,29.9396,0.85675
908,30.1781,0.865084
909,30.295,0.866137
910,30.2124,0.865258
911,30.3647,0.868808
912,30.3485,0.868966
913,30.4544,0.869972
914,30.3224,0.867966
915,30.5232,0.871808
916,30.4511,0.871159
917,30.5767,0.872568
918,30.4013,0.869237
919,30.6165,0.873422
920,30.844,0.8797
921,30.8262,0.878923
922,30.7908,0.877877
923,30.7371,0.877236
924,30.9973,0.881063
925,30.7673,0.878091
926,30.8659,0.878259
927,30.8298,0.879005
928,30.7343,0.877196
929,30.8767,0.878649
930,30.6448,0.875378
931,30.8267,0.87802
932,31.0294,0.881003
933,30.9504,0.880242
934,31.1022,0.882306
935,30.9831,0.881998
936,31.1388,0.884791
937,31.1093,0.883838
938,31.2016,0.884117
939,31.1144,0.883896
940,31.3154,0.886512
941,31.185,0.884746
942,31.1677,0.883825
943,31.1786,0.884834
944,31.398,0.887521
945,31.4301,0.887978
946,31.5475,0.890447
947,31.4698,0.890022
948,31.725,0.893399
949,31.5423,0.89113
950,31.6378,0.891763
951,31.5599,0.891472
952,31.7211,0.893468
953,31.6887,0.893055
954,31.762,0.893379
955,31.8252,0.894969
956,31.7103,0.893559
957,31.7753,0.894564
958,31.5738,0.891941
959,31.7491,0.894117
960,31.7503,0.894204
961,31.8433,0.89531
962,31.9001,0.895714
963,33.4277,0.920088
964,33.1503,0.918517
965,33.0126,0.917007
966,33.0102,0.916342
967,33.0647,0.916596
968,33.0502,0.91653
969,33.2296,0.917879
970,33.1691,0.917354
971,33.2643,0.918229
972,33.2869,0.918593
973,33.8282,0.924944
974,33.6081,0.923081
975,33.7153,0.923791
976,33.8758,0.92557
977,22.1906,0.476753
978,22.2809,0.482078
979,23.0149,0.502907
980,23.0214,0.503472
981,23.8861,0.536683
982,24.0306,0.547117
983,24.1517,0.551614
984,24.8226,0.581416
985,24.9041,0.587353
986,25.051,0.593577
987,25.079,0.595403
988,26.2406,0.653923
989,26.3422,0.660651
990,26.475,0.66634
991,26.9973,0.691839
992,27.1406,0.69919
993,27.09,0.69776
994,28.0453,0.740627
995,28.0307,0.741074
996,28.3032,0.751359
997,28.3471,0.753373
998,28.3975,0.755829
999,28.4353,0.757244
1000,28.6101,0.763919
1001,28.6036,0.764258
1002,29.0891,0.782543
1003,29.1888,0.786832
